% function evaluation | noise-free fitness - Fopt (-6.211100000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.934250389e+007 +9.934250389e+007 +9.934188278e+007 +9.934188278e+007 -2.9105e+000 +4.4174e+000 +4.5679e+000 -2.6593e+000 -3.2575e+000 +7.2038e-001 +5.3915e-001 +4.2063e+000 -2.7689e+000 +4.2080e+000
30 +4.983648000e+007 +4.983648000e+007 +4.983585889e+007 +4.983585889e+007 +4.6547e-001 +2.4695e+000 -1.7584e+000 +1.7100e+000 +1.2782e+000 -2.3777e+000 -6.0784e-001 -4.7640e+000 +3.7360e+000 +5.7241e-002
99 +2.760278427e+007 +2.760278427e+007 +2.760216316e+007 +2.760216316e+007 -3.3577e-001 +4.4140e+000 +3.3608e+000 -2.1933e+000 -4.8407e+000 -1.9409e+000 +3.2075e+000 -6.9215e-001 -1.2879e+000 -1.0577e+000
260 +2.038986451e+007 +2.038986451e+007 +2.038924340e+007 +2.038924340e+007 +1.2174e+000 +2.7161e+000 +2.8977e+000 -2.3777e+000 -2.7187e+000 -7.8600e-001 +1.0783e+000 -1.8928e-001 -4.3647e-001 +9.0767e-001
365 +9.402345519e+006 +9.402345519e+006 +9.401724409e+006 +9.401724409e+006 +1.2174e+000 +4.3952e+000 +3.2830e+000 -3.7173e+000 -4.4528e+000 -1.6915e+000 +2.8526e+000 -6.0747e-001 -4.3647e-001 +9.0767e-001
716 +5.043447544e+006 +5.043447544e+006 +5.042826434e+006 +5.042826434e+006 -6.9215e-001 +4.4140e+000 -2.7187e+000 -3.3471e+000 +2.4695e+000 -7.8600e-001 -5.7256e-001 -1.8928e-001 +2.8526e+000 -2.7756e-001
820 +2.763241698e+006 +2.763241698e+006 +2.762620588e+006 +2.762620588e+006 -7.8600e-001 +4.3952e+000 -3.3577e-001 -3.3471e+000 -1.8928e-001 -7.8600e-001 +1.0783e+000 -6.9215e-001 +2.1797e+000 -1.2734e+000
1069 +2.215951268e+006 +2.215951268e+006 +2.215330158e+006 +2.215330158e+006 -7.8600e-001 +2.7161e+000 -4.3647e-001 -3.7173e+000 -7.8600e-001 -1.7584e+000 +1.5174e+000 -1.8928e-001 +1.0783e+000 -3.3577e-001
1442 +9.694511018e+005 +9.694511018e+005 +9.688299918e+005 +9.688299918e+005 -1.2734e+000 +4.4140e+000 -2.7756e-001 -3.7173e+000 -2.7756e-001 -1.8680e+000 +1.5174e+000 -1.8928e-001 +6.6867e-001 -2.7756e-001
2102 +4.579409324e+005 +4.579409324e+005 +4.573198224e+005 +4.573198224e+005 -7.8600e-001 +4.3952e+000 -1.8928e-001 -3.7173e+000 -1.8928e-001 -1.8680e+000 +1.5174e+000 -2.7756e-001 +1.2535e+000 -3.3577e-001
2360 +2.449749223e+005 +2.449749223e+005 +2.443538123e+005 +2.443538123e+005 -7.8600e-001 +4.3952e+000 -1.8928e-001 -3.7173e+000 -1.8928e-001 -1.8680e+000 +1.5174e+000 -7.8600e-001 +1.2535e+000 -4.3647e-001
