% function evaluation | noise-free fitness - Fopt (-1,694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6,556493933e+01 +6,556493933e+01 +4,862493933e+01 +4,862493933e+01 -3,1600e+00 +1,9695e+00 -4,3360e+00 +4,5107e+00 +4,7970e+00 -2,1054e+00 -1,4376e+00 +1,2410e+00 -4,1488e+00 -1,9488e+00
2 +1,941372983e+01 +1,941372983e+01 +2,473729835e+00 +2,473729835e+00 +2,4553e+00 +2,8374e+00 +2,5172e+00 +4,2020e+00 -9,7364e-01 -4,6600e+00 +2,1907e+00 +3,3910e+00 +3,2007e-01 +6,1427e-01
10 +9,179726694e+00 +9,179726694e+00 -7,760273306e+00 -7,760273306e+00 +3,8674e+00 +2,0058e+00 -1,3317e+00 +2,2074e+00 +3,0543e+00 -3,5815e+00 +1,3889e+00 +2,6757e-01 +4,3812e+00 -3,9530e+00
152 +3,885614979e+00 +3,885614979e+00 -1,305438502e+01 -1,305438502e+01 +4,8167e+00 +2,2476e+00 -1,3546e+00 +1,4051e+00 +1,9661e+00 -2,4205e+00 +4,3845e+00 +6,1027e-01 +8,2403e-01 -2,2793e+00
288 +2,225849881e+00 +2,225849881e+00 -1,471415012e+01 -1,471415012e+01 +4,3509e+00 +2,3286e+00 -1,1612e+00 +1,5616e+00 +2,4275e+00 -2,6230e+00 +3,4944e+00 -2,1529e+00 +2,0539e-01 -2,2594e+00
409 +1,356542320e+00 +1,356542320e+00 -1,558345768e+01 -1,558345768e+01 +3,4756e+00 +2,6839e+00 -1,2632e+00 +1,3479e+00 +1,4603e+00 -2,3109e+00 +3,9057e+00 -2,5192e+00 +9,5969e-02 -2,4499e+00
452 +8,538298325e-01 +8,538298325e-01 -1,608617017e+01 -1,608617017e+01 +3,6037e+00 +2,7151e+00 -9,5785e-01 +1,2367e+00 +1,2662e+00 -2,1639e+00 +3,6703e+00 -1,8936e+00 -5,9417e-01 -2,4272e+00
652 +5,433807170e-01 +5,433807170e-01 -1,639661928e+01 -1,639661928e+01 +3,5170e+00 +2,7776e+00 -9,6981e-01 +1,4246e+00 +1,6271e+00 -1,9364e+00 +3,2947e+00 -2,1070e+00 -2,1799e-01 -2,1584e+00
3372 +3,931909603e-01 +3,931909603e-01 -1,654680904e+01 -1,654680904e+01 +3,6180e+00 +2,6723e+00 -1,0528e+00 +1,5895e+00 +1,1912e+00 -1,7893e+00 +3,4653e+00 -2,0911e+00 -3,8947e-01 -2,2016e+00
6072 +2,269369833e-01 +2,269369833e-01 -1,671306302e+01 -1,671306302e+01 +3,6661e+00 +2,6570e+00 -1,1444e+00 +1,6474e+00 +1,0430e+00 -1,8356e+00 +3,5525e+00 -1,8055e+00 -4,0245e-01 -2,2185e+00
12234 +1,514689951e-01 +1,514689951e-01 -1,678853100e+01 -1,678853100e+01 +3,6487e+00 +2,6032e+00 -1,1007e+00 +1,6276e+00 +1,1955e+00 -1,8302e+00 +3,5222e+00 -2,1251e+00 -3,2936e-01 -2,1638e+00
14155 +9,878664381e-02 +9,878664381e-02 -1,684121336e+01 -1,684121336e+01 +3,5685e+00 +2,5598e+00 -1,0764e+00 +1,6253e+00 +1,2503e+00 -1,8316e+00 +3,5967e+00 -2,1852e+00 -2,6902e-01 -2,1544e+00
16563 +5,474513772e-02 +5,474513772e-02 -1,688525486e+01 -1,688525486e+01 +3,5904e+00 +2,5595e+00 -1,0583e+00 +1,6406e+00 +1,2643e+00 -1,8624e+00 +3,5629e+00 -2,2306e+00 -2,7012e-01 -2,0980e+00
18771 +3,766655826e-02 +3,766655826e-02 -1,690233344e+01 -1,690233344e+01 +3,5887e+00 +2,5648e+00 -1,0606e+00 +1,6258e+00 +1,2628e+00 -1,8508e+00 +3,5724e+00 -2,2035e+00 -2,6720e-01 -2,1140e+00
30928 +2,240779908e-02 +2,240779908e-02 -1,691759220e+01 -1,691759220e+01 +3,6059e+00 +2,5709e+00 -1,0705e+00 +1,6322e+00 +1,2560e+00 -1,8615e+00 +3,5698e+00 -2,2102e+00 -2,8678e-01 -2,1161e+00
36483 +1,546963201e-02 +1,546963201e-02 -1,692453037e+01 -1,692453037e+01 +3,6068e+00 +2,5714e+00 -1,0663e+00 +1,6367e+00 +1,2564e+00 -1,8622e+00 +3,5690e+00 -2,2077e+00 -2,8572e-01 -2,1170e+00
51965 +9,994831600e-03 +9,994831600e-03 -1,693000517e+01 -1,693000517e+01 +3,6066e+00 +2,5721e+00 -1,0671e+00 +1,6360e+00 +1,2557e+00 -1,8620e+00 +3,5688e+00 -2,2079e+00 -2,8539e-01 -2,1173e+00
